Name,Distance (ly),Luminosity (L/Lo),Radius (R/Ro),Temperature (K),Spectral Class
Iota Aquilae 77,2157.01,39.12883,2.2336,10223.3,A0V
Epsilon Virginis 87,3261.5,10.98296,1.8501,9029.3,A2V
Alpha Aquilae 84,511.22,13.66079,1.3999,8555.7,A5V
Delta Scorpii 63,572.29,6.16201,1.3883,7825.1,A7V
Beta Centauri 52,2064.49,2.83468,1.3341,7347.6,F0V
Theta Tauri 75,14.08,2.72896,1.1599,7119.3,F2V
Theta Tauri 9,3183.57,1.63863,1.1452,6829.9,F5V
Theta Aquilae 42,3314.1,1.26888,1.012,6326.5,F8V
Theta Tauri 88,3050.01,0.91838,0.9738,6067.3,G0V
Alpha Centauri 21,1767.49,0.85017,0.9671,5740.5,G2V
Gamma Aquilae 21,3498.22,0.91915,0.8575,5572.1,G5V
Beta Tauri 86,3615.61,0.63311,0.8317,5361.1,G8V
Delta Scorpii 84,368.61,0.4238,0.7713,5115.6,K0V
Kappa Lyrae 67,2721.27,0.25186,0.7496,5045.1,K2V
Eta Cygni 62,287.22,0.18129,0.6677,4441.0,K5V
Zeta Tauri 39,552.14,0.12961,0.5904,4139.9,K8V
Gamma Centauri 68,2255.0,0.06441,0.4246,3937.8,M0V
Delta Cygni 53,2465.92,0.02327,0.3326,3819.0,M2V
Gamma Centauri 76,2921.17,0.00852,0.2929,3476.9,M3.5V
Delta Aquilae 83,340.84,0.00377,0.228,3043.0,M5V
Alpha Aquilae 27,2073.02,0.00056,0.1548,2518.2,M8V
Alpha Lyrae 64,1546.12,0.00011,0.0983,2028.4,M9V
Alpha Tauri 41,531.58,745610.50295,15.6838,43654.1,O5V
Gamma Leonis 99,295.86,79368.17485,8.0552,35294.5,O8V
Alpha Scorpii 65,1148.95,38505.16304,8.0684,30541.5,B0V
Eta Centauri 82,2148.21,7312.32939,4.1937,23859.4,B2V
Iota Lyrae 20,2147.51,1598.68246,3.4514,21007.2,B5V
Beta Aquilae 90,1752.31,672.05679,2.0864,12977.9,B8V
Eta Centauri 59,2450.82,14.95258,2.1995,11145.1,A0V
Gamma Centauri 2,2832.83,23.43299,1.4983,9462.4,A2V
Iota Virginis 93,1040.1,8.71869,1.5999,8636.7,A5V
Beta Orionis 43,3229.24,4.3599,1.2192,8027.4,A7V
Kappa Centauri 64,1823.08,3.08037,1.2249,7426.8,F0V
Zeta Cygni 33,3094.27,2.87312,1.1511,6934.6,F2V
Iota Orionis 6,3435.35,1.40737,1.0069,6645.6,F5V
Gamma Cygni 5,2213.34,1.55697,1.0267,6267.7,F8V
Zeta Lyrae 54,3663.77,1.02797,0.9878,6014.3,G0V
Beta Virginis 87,3608.18,0.89484,0.9563,5896.3,G2V
Eta Centauri 60,3464.69,0.89338,0.8749,5517.3,G5V
Theta Orionis 48,806.04,0.71276,0.8243,5424.5,G8V
Theta Tauri 76,3887.55,0.64945,0.8276,5246.5,K0V
Iota Lyrae 20,29.68,0.33201,0.7033,4903.9,K2V
Alpha Tauri 1,3036.73,0.1802,0.6686,4523.0,K5V
Delta Virginis 31,1681.7,0.14651,0.6167,4142.7,K8V
Epsilon Centauri 6,3685.43,0.07589,0.478,4025.2,M0V
Zeta Leonis 96,343.45,0.01287,0.32,3796.0,M2V
Beta Andromedae 73,253.07,0.01162,0.2631,3302.1,M3.5V
Zeta Scorpii 90,3328.31,0.00263,0.2089,2893.4,M5V
Delta Cygni 99,2340.58,0.00024,0.0964,2586.4,M8V
Eta Centauri 69,1435.84,0.00017,0.0871,2185.3,M9V
Beta Centauri 21,3231.2,328161.23716,17.047,46033.0,O5V
Delta Tauri 19,368.67,62410.93947,9.423,37080.8,O8V
Epsilon Aquilae 23,128.4,26175.68906,6.8088,32488.5,B0V
Delta Centauri 60,411.4,8556.6682,3.8036,22370.0,B2V
Delta Cygni 26,3295.43,1556.15141,3.4454,19868.1,B5V
Kappa Andromedae 34,3670.06,144.99231,2.9966,12791.0,B8V
Theta Cygni 12,3620.71,84.64206,1.8984,9606.7,A0V
Theta Orionis 22,3696.85,17.52944,1.8347,9096.9,A2V
Eta Scorpii 23,1418.49,14.08304,1.41,8423.0,A5V
Gamma Orionis 79,2478.31,4.22892,1.2885,7847.2,A7V
Iota Leonis 8,354.72,3.14905,1.2048,7457.1,F0V
Iota Lyrae 81,3976.37,2.45239,1.0529,7014.7,F2V
Zeta Leonis 70,3126.66,1.60642,1.0848,6628.6,F5V
Epsilon Cygni 4,1278.37,1.20951,1.0406,6411.4,F8V
Alpha Leonis 68,1432.43,1.1336,0.9463,5931.9,G0V
Delta Lyrae 35,2136.72,1.04781,0.9516,5852.8,G2V
Delta Andromedae 50,1421.93,0.90981,0.9176,5535.2,G5V
Kappa Tauri 95,2791.78,0.7828,0.8023,5440.1,G8V
Kappa Andromedae 19,2254.27,0.44706,0.8488,5276.3,K0V
Theta Virginis 40,705.69,0.25759,0.6856,4980.5,K2V
Alpha Virginis 62,6.93,0.26686,0.6042,4452.2,K5V
Gamma Tauri 8,91.76,0.11279,0.6101,4332.3,K8V
Iota Tauri 10,1496.99,0.07768,0.4593,3875.3,M0V
Epsilon Tauri 18,3903.54,0.03197,0.3655,3741.8,M2V
Theta Tauri 23,2829.96,0.01062,0.339,3414.8,M3.5V
Zeta Lyrae 86,2357.53,0.00188,0.1899,3075.4,M5V
Gamma Cygni 94,11.38,0.00073,0.1373,2740.3,M8V
Kappa Orionis 24,2411.22,0.00019,0.1181,2088.4,M9V
Kappa Centauri 64,566.18,659007.49608,12.38,49823.8,O5V
Gamma Centauri 91,2681.48,86464.29736,9.343,34068.4,O8V
Delta Lyrae 89,275.09,20266.31766,5.4321,28007.7,B0V
Eta Leonis 94,1681.05,4164.3691,4.535,27290.6,B2V
Zeta Virginis 49,409.49,1802.82528,3.7961,19905.8,B5V
Delta Cygni 58,298.73,607.45749,2.1539,13274.9,B8V
Beta Centauri 44,683.91,43.79121,2.2588,10867.6,A0V
Beta Tauri 77,3941.17,27.65098,1.8227,9045.1,A2V
Gamma Andromedae 56,631.96,6.01258,1.3822,8295.0,A5V
Iota Virginis 34,2643.82,4.487,1.2288,7835.7,A7V
Iota Leonis 20,221.99,2.01145,1.1219,7529.6,F0V
Kappa Leonis 26,391.74,2.04834,1.1457,7193.1,F2V
Theta Centauri 40,3140.41,1.68257,1.1342,6606.0,F5V
Iota Scorpii 24,1486.72,1.29072,0.9768,6117.8,F8V
Theta Leonis 34,908.22,1.00742,0.9343,6050.4,G0V
Beta Centauri 86,1377.92,0.98536,0.9679,5817.9,G2V
Iota Orionis 50,3274.38,0.80466,0.8928,5673.4,G5V
Theta Andromedae 31,1907.25,0.61579,0.8722,5442.9,G8V
Iota Andromedae 67,3202.64,0.56938,0.812,5124.1,K0V
Theta Cygni 22,3888.78,0.41169,0.6926,4927.0,K2V
Eta Lyrae 81,595.09,0.21521,0.6184,4690.8,K5V
Beta Centauri 50,2227.32,0.10968,0.6028,4255.9,K8V
Alpha Andromedae 76,2092.25,0.05678,0.4622,3887.0,M0V
Kappa Andromedae 98,3859.47,0.01301,0.3158,3783.9,M2V
Epsilon Virginis 45,3512.09,0.00764,0.3155,3400.2,M3.5V
Theta Orionis 23,1104.7,0.00172,0.2291,3077.5,M5V
Alpha Scorpii 43,2763.35,0.00014,0.1275,2507.4,M8V
Zeta Orionis 44,3270.31,0.00012,0.0768,2196.6,M9V
Beta Lyrae 18,1204.86,657792.73124,17.7403,43208.7,O5V
Eta Andromedae 83,360.97,72085.8299,11.6537,36443.0,O8V
Theta Virginis 48,3284.82,30610.7881,5.6359,29866.7,B0V
Iota Scorpii 18,3122.99,6670.00352,4.9217,23042.4,B2V
Delta Orionis 32,136.35,816.28635,3.0406,17194.7,B5V
Zeta Leonis 65,1590.3,653.84414,2.6174,12967.8,B8V
Theta Andromedae 58,713.79,88.34327,2.1282,10374.4,A0V
Gamma Aquilae 96,3324.19,9.98862,1.4165,8739.7,A2V
Kappa Lyrae 29,2591.0,11.77695,1.4076,8404.8,A5V
Alpha Orionis 61,3646.43,6.23686,1.3803,7605.1,A7V
Epsilon Andromedae 40,2852.17,4.1281,1.1688,7558.2,F0V
Zeta Leonis 33,876.12,2.16257,1.1281,7087.1,F2V
Kappa Centauri 1,2048.11,1.79741,1.1265,6649.7,F5V
Kappa Andromedae 37,1196.85,1.15405,0.9657,6495.3,F8V
Zeta Aquilae 34,2625.92,1.28088,0.9756,5937.7,G0V
Iota Lyrae 8,3222.54,1.05059,0.942,5832.1,G2V
Gamma Orionis 84,1991.6,0.7739,0.9226,5580.9,G5V
Alpha Andromedae 91,3979.04,0.7632,0.8275,5442.7,G8V
Iota Leonis 86,1436.68,0.47505,0.767,5231.5,K0V
Iota Cygni 38,394.2,0.27559,0.7059,5042.5,K2V
Gamma Tauri 84,361.02,0.17685,0.6693,4522.8,K5V
Zeta Tauri 34,2344.02,0.10174,0.5141,4116.1,K8V
Kappa Andromedae 80,288.76,0.07558,0.4751,4066.9,M0V
Eta Virginis 39,1654.89,0.03613,0.3226,3847.7,M2V
Zeta Scorpii 73,3571.83,0.01487,0.2643,3501.8,M3.5V
Gamma Centauri 63,1333.32,0.00593,0.1907,2823.2,M5V
Theta Aquilae 27,3045.78,0.00025,0.1564,2595.8,M8V
Beta Cygni 79,1737.22,0.00013,0.0857,2191.0,M9V
Alpha Orionis 69,801.02,379826.05407,10.1408,43222.1,O5V
Iota Lyrae 3,2708.35,81334.34643,8.9953,38161.1,O8V
Zeta Aquilae 17,414.6,30133.45915,6.2245,28391.7,B0V
Alpha Aquilae 38,1825.99,6642.01889,4.8103,24602.0,B2V
Gamma Tauri 63,1439.69,1133.37988,3.9221,21509.2,B5V
Eta Orionis 30,900.54,690.92771,2.0534,12087.7,B8V
Iota Cygni 16,1469.03,68.54863,1.6336,11691.4,A0V
Epsilon Virginis 80,198.34,29.88297,1.7972,9222.9,A2V
Alpha Orionis 89,466.87,9.44314,1.3494,8326.4,A5V
Gamma Lyrae 89,2744.28,3.04652,1.3263,7660.6,A7V
Iota Aquilae 80,2424.19,2.41149,1.3077,7242.0,F0V
Kappa Centauri 37,459.77,1.92752,1.0798,6959.9,F2V
Epsilon Virginis 26,1434.38,1.64585,1.0241,6719.3,F5V
Delta Leonis 43,941.24,1.10637,0.968,6144.2,F8V
Kappa Leonis 20,3798.0,1.21181,0.9353,6044.7,G0V
Epsilon Lyrae 59,3954.71,0.92401,0.9325,5720.0,G2V
Gamma Orionis 38,1443.55,0.86919,0.8841,5523.2,G5V
Alpha Orionis 18,2654.83,0.6341,0.8286,5387.5,G8V
Kappa Aquilae 94,375.61,0.60374,0.7683,5180.2,K0V
Theta Aquilae 50,2760.91,0.34565,0.7222,5065.8,K2V
Gamma Centauri 17,2785.96,0.12938,0.6931,4463.8,K5V
Eta Andromedae 62,3209.89,0.12106,0.5218,4213.9,K8V
Zeta Andromedae 4,3450.88,0.0752,0.5091,4072.9,M0V
Theta Leonis 15,3550.85,0.02322,0.3095,3746.5,M2V
Alpha Virginis 99,2975.57,0.01224,0.2724,3534.5,M3.5V
Zeta Virginis 67,2754.28,0.00409,0.2063,3090.7,M5V
Theta Tauri 85,2706.54,0.00045,0.1639,2623.3,M8V
Kappa Orionis 2,2575.09,0.0001,0.1109,2340.7,M9V
Gamma Centauri 97,1968.73,280668.86252,19.7015,40503.5,O5V
Delta Virginis 83,1517.16,90855.16529,8.3153,36665.1,O8V
Kappa Leonis 12,3426.96,27882.7248,5.4748,30984.2,B0V
Alpha Centauri 52,1651.82,6899.91708,3.5004,22545.4,B2V
Kappa Andromedae 82,1221.31,1869.1768,2.8103,20028.8,B5V
Zeta Tauri 7,3267.13,606.59046,2.1984,15069.7,B8V
Kappa Leonis 92,2630.11,74.43222,1.7026,11398.3,A0V
Delta Orionis 44,1423.26,21.94055,1.8799,9138.2,A2V
Zeta Centauri 6,3587.94,9.92422,1.6287,8571.3,A5V
Eta Centauri 33,2445.04,3.93772,1.4791,7835.7,A7V
Theta Lyrae 92,1354.51,4.27145,1.1116,7453.3,F0V
Kappa Centauri 99,3567.47,2.34887,1.1384,7051.3,F2V
Theta Orionis 68,2945.96,1.73194,1.0649,6734.0,F5V
Iota Cygni 89,2315.99,1.46525,0.9716,6255.0,F8V
Kappa Andromedae 42,2018.52,1.05387,0.9986,6083.2,G0V
Delta Aquilae 51,3854.53,1.09262,0.9317,5726.7,G2V
Eta Andromedae 90,3546.22,0.82807,0.9174,5609.6,G5V
Zeta Virginis 81,872.66,0.64194,0.8572,5437.3,G8V
Gamma Cygni 65,2171.89,0.55922,0.821,5252.2,K0V
Iota Leonis 75,2284.36,0.38343,0.7217,5024.4,K2V
Iota Aquilae 55,3234.02,0.20364,0.583,4458.1,K5V
Alpha Lyrae 35,3001.79,0.07448,0.5344,4175.2,K8V
Alpha Aquilae 27,3015.41,0.04129,0.5221,3875.6,M0V
Iota Lyrae 96,2589.96,0.02167,0.3766,3789.1,M2V
Epsilon Orionis 49,1552.79,0.01457,0.3476,3309.4,M3.5V
Iota Orionis 2,2975.76,0.00202,0.263,3144.2,M5V
Theta Lyrae 82,2819.76,0.00068,0.1555,2618.6,M8V
Kappa Lyrae 93,3857.31,0.00012,0.0706,2273.1,M9V
Gamma Cygni 95,2057.43,382898.67029,14.2851,45566.0,O5V
Gamma Cygni 75,3384.7,50282.2568,9.8653,39625.0,O8V
Alpha Cygni 42,2389.21,40946.43799,7.5015,33058.8,B0V
Epsilon Leonis 74,2202.53,3510.16557,5.2692,25152.4,B2V
Gamma Virginis 9,3145.93,1066.55213,3.3146,18420.5,B5V
Zeta Lyrae 28,2654.75,298.63992,2.1523,15801.2,B8V
Kappa Virginis 61,3986.54,84.13196,2.483,9522.0,A0V
Zeta Leonis 31,3618.39,21.50142,1.7727,9467.1,A2V
Zeta Scorpii 15,1546.08,10.40237,1.4131,8655.7,A5V
Zeta Virginis 66,1784.56,3.21926,1.4695,7715.5,A7V
Iota Centauri 13,673.08,4.86883,1.2345,7202.9,F0V
Beta Lyrae 86,2519.61,2.05581,1.1528,7150.7,F2V
Delta Virginis 90,3515.06,1.84483,1.0653,6826.7,F5V
Beta Cygni 4,1839.17,1.26586,0.9679,6121.7,F8V
Epsilon Virginis 10,2301.63,0.99106,0.9481,5977.6,G0V
Eta Scorpii 41,71.69,1.01832,0.9374,5828.3,G2V
Kappa Centauri 97,2984.87,0.71138,0.9179,5571.5,G5V
Iota Centauri 38,3148.46,0.66027,0.8069,5453.1,G8V
Theta Scorpii 51,3289.24,0.4077,0.7656,5144.0,K0V
Eta Virginis 38,3840.7,0.27882,0.7477,5074.3,K2V
Zeta Orionis 71,3499.59,0.14262,0.585,4629.1,K5V
Eta Virginis 71,3788.14,0.08742,0.5898,4371.1,K8V
Zeta Lyrae 53,3622.91,0.07406,0.4214,3896.0,M0V
Kappa Aquilae 25,462.21,0.03013,0.3851,3566.3,M2V
Iota Leonis 83,2200.55,0.00791,0.2567,3234.4,M3.5V
Kappa Leonis 43,1431.25,0.00436,0.1805,2914.1,M5V
Beta Lyrae 41,1945.6,0.0004,0.1459,2677.4,M8V
Gamma Andromedae 73,1460.64,0.00012,0.0857,2001.9,M9V
Delta Lyrae 92,2960.36,427093.04957,18.4011,41343.1,O5V
Zeta Leonis 60,1783.76,88738.34808,9.9479,34653.0,O8V
Kappa Centauri 36,3435.45,15600.06675,7.1545,29579.4,B0V
Beta Centauri 3,3398.98,7421.38546,5.5316,25473.4,B2V
Kappa Lyrae 5,2208.26,1949.97945,3.9981,18832.6,B5V
Gamma Tauri 51,896.49,563.28691,2.6799,13164.0,B8V
Theta Virginis 66,366.04,42.7479,1.6095,10097.2,A0V
Kappa Cygni 97,2058.59,17.81685,1.5075,9459.0,A2V
Gamma Leonis 46,165.71,12.61472,1.3927,8332.2,A5V
Delta Orionis 86,830.43,7.53863,1.3084,7881.8,A7V
Theta Orionis 6,3922.44,2.97221,1.2759,7408.5,F0V
Epsilon Aquilae 75,2179.31,2.00862,1.1481,7009.6,F2V
Beta Virginis 33,1507.93,1.94435,1.0775,6641.2,F5V
Zeta Leonis 62,3549.16,1.1033,1.0394,6276.0,F8V
Delta Centauri 66,2575.41,0.98461,0.9431,5972.4,G0V
Beta Lyrae 54,3245.48,1.03006,0.9337,5795.8,G2V
Delta Andromedae 21,2590.52,0.80272,0.8695,5525.6,G5V
Kappa Cygni 18,2519.72,0.60784,0.8458,5311.2,G8V
Epsilon Cygni 67,3833.13,0.54984,0.8064,5103.7,K0V
Epsilon Centauri 28,1799.13,0.44856,0.7667,4851.2,K2V
Eta Andromedae 19,3179.33,0.25127,0.6018,4663.9,K5V
Epsilon Cygni 93,2743.69,0.14301,0.5716,4120.7,K8V
Eta Scorpii 17,438.02,0.04809,0.5289,3976.1,M0V
Eta Cygni 78,388.99,0.02428,0.3922,3561.7,M2V
Iota Virginis 97,473.77,0.00982,0.263,3411.2,M3.5V
Alpha Scorpii 67,1685.17,0.00537,0.2407,2971.6,M5V
Theta Scorpii 45,2357.92,0.00077,0.1562,2678.7,M8V
Beta Scorpii 18,1021.2,0.00017,0.1146,2033.5,M9V
Kappa Virginis 53,1034.34,104102.09061,17.4365,40071.1,O5V
Iota Centauri 67,32.95,82727.30604,10.7511,35895.4,O8V
Zeta Centauri 20,1706.7,33414.8074,6.0452,31216.6,B0V
Kappa Tauri 79,1105.28,7764.23994,5.3874,24479.4,B2V
Iota Leonis 23,1483.5,1976.29612,2.8807,17839.9,B5V
Zeta Scorpii 95,555.89,618.29832,1.9429,12919.1,B8V
Gamma Centauri 28,2035.44,80.7473,2.3208,11035.1,A0V
Alpha Cygni 50,3858.43,8.11639,1.4547,8816.3,A2V
Kappa Scorpii 12,260.25,7.2177,1.332,8218.9,A5V
Eta Scorpii 79,2626.14,4.43235,1.4891,7634.5,A7V
Gamma Leonis 57,47.0,4.5517,1.3327,7407.3,F0V
Delta Orionis 77,2044.25,2.63814,1.1423,7102.2,F2V
Zeta Lyrae 84,5.35,1.49447,1.1495,6811.9,F5V
Zeta Scorpii 52,2346.06,1.35887,1.0263,6127.4,F8V
Beta Virginis 37,2905.71,1.12365,0.9708,5969.5,G0V
Epsilon Lyrae 78,3852.38,0.96369,0.9283,5700.9,G2V
Gamma Scorpii 65,429.61,0.7181,0.8735,5689.4,G5V
Iota Aquilae 69,3253.37,0.71498,0.8555,5493.2,G8V
Kappa Leonis 99,976.27,0.48492,0.8276,5236.3,K0V
Kappa Orionis 62,468.78,0.26351,0.7434,5098.3,K2V
Delta Tauri 53,3821.97,0.20264,0.5812,4732.9,K5V
Delta Aquilae 12,1598.25,0.12739,0.541,4266.4,K8V
Gamma Leonis 41,1416.87,0.07577,0.4404,4086.8,M0V
Delta Leonis 95,802.03,0.03206,0.4309,3612.0,M2V
Delta Lyrae 80,1426.81,0.01279,0.262,3227.5,M3.5V
Theta Andromedae 1,3057.97,0.00371,0.1555,2992.9,M5V
Kappa Tauri 64,3592.91,0.00089,0.1375,2509.9,M8V
Gamma Virginis 36,1594.05,0.00017,0.0677,2210.3,M9V
Eta Leonis 70,134.31,360466.72125,18.604,47759.0,O5V
Theta Centauri 90,2074.84,65782.56327,8.0337,38044.6,O8V
Eta Andromedae 13,1304.58,34511.12385,6.0388,31291.4,B0V
Delta Aquilae 61,3834.28,5401.67522,3.9598,24543.7,B2V
Eta Tauri 47,3417.92,1343.14792,2.7698,16786.8,B5V
Kappa Lyrae 13,2884.43,582.45255,2.4664,15425.2,B8V
Delta Cygni 95,601.76,82.51015,1.7589,10749.0,A0V
Iota Virginis 93,1265.78,18.70564,1.5506,9386.8,A2V
Alpha Scorpii 13,2763.47,5.60036,1.6255,8438.3,A5V
Beta Leonis 96,1341.42,4.80481,1.3681,8159.1,A7V
Epsilon Tauri 3,1649.51,3.05327,1.2699,7442.2,F0V
Kappa Andromedae 84,2598.0,2.00945,1.167,7006.5,F2V
Iota Leonis 95,1790.04,1.44704,1.092,6685.5,F5V
Gamma Cygni 82,3231.68,1.26869,1.0168,6328.7,F8V
Beta Centauri 21,1377.26,1.02539,0.9757,6042.1,G0V
Kappa Scorpii 35,3551.24,1.04524,0.9657,5849.6,G2V
Iota Leonis 53,672.77,0.91355,0.86,5546.9,G5V
Epsilon Centauri 27,671.14,0.6206,0.8051,5475.7,G8V
Iota Orionis 4,3084.7,0.531,0.8496,5120.8,K0V
Kappa Cygni 11,2620.78,0.42709,0.7109,4874.2,K2V
Epsilon Leonis 81,509.32,0.20428,0.6005,4414.1,K5V
Zeta Tauri 61,1871.01,0.13838,0.6122,4264.6,K8V
Gamma Virginis 23,2365.04,0.05826,0.5123,4069.3,M0V
Eta Virginis 82,2559.63,0.01929,0.3521,3711.9,M2V
Beta Leonis 40,1465.8,0.0076,0.2804,3200.0,M3.5V
Gamma Tauri 37,1879.02,0.00104,0.2699,3178.8,M5V
Theta Aquilae 2,3064.46,0.00082,0.1397,2718.7,M8V
Iota Tauri 25,1649.41,0.00015,0.0837,2065.3,M9V
Eta Scorpii 29,1055.02,416679.53707,12.3956,47645.4,O5V
Kappa Aquilae 37,2595.3,76597.2133,9.0753,35128.0,O8V
Beta Cygni 18,1161.36,35475.70838,7.4709,29632.8,B0V
Kappa Leonis 25,1285.43,4065.04514,5.9243,22132.8,B2V
Beta Aquilae 35,503.83,1708.35826,2.5123,16541.2,B5V
Alpha Leonis 28,1370.42,286.94601,2.7594,15991.9,B8V
Theta Orionis 43,324.76,77.55126,1.7315,10166.3,A0V
Eta Centauri 70,1882.81,12.22823,1.9049,9353.8,A2V
Alpha Centauri 99,2859.93,8.84798,1.69,8323.6,A5V
Alpha Lyrae 59,2942.4,3.4698,1.3998,7725.1,A7V
Eta Aquilae 42,637.98,4.18471,1.2862,7419.8,F0V
Beta Aquilae 62,2555.6,2.03847,1.1831,7159.1,F2V
Delta Centauri 31,2533.18,1.59471,1.0251,6610.4,F5V
Beta Scorpii 32,39.88,1.121,1.0305,6290.1,F8V
Kappa Cygni 48,3084.15,0.99949,0.965,6037.2,G0V
Zeta Orionis 8,1424.78,0.88848,0.9375,5721.5,G2V
Theta Lyrae 41,3926.78,0.89714,0.9105,5661.1,G5V
Theta Lyrae 3,2758.31,0.67163,0.8108,5479.7,G8V
Theta Leonis 72,1181.82,0.57426,0.769,5137.3,K0V
Zeta Tauri 94,1875.81,0.42353,0.7399,5058.2,K2V
Gamma Centauri 68,623.65,0.16731,0.6116,4546.8,K5V
Alpha Virginis 49,2935.75,0.13946,0.5744,4209.2,K8V
Kappa Lyrae 42,2885.19,0.06633,0.4808,3946.9,M0V
Iota Leonis 99,2207.76,0.02839,0.3484,3742.3,M2V
Beta Centauri 67,2637.0,0.00544,0.3438,3262.5,M3.5V
Alpha Lyrae 14,1943.64,0.00149,0.2242,3134.5,M5V
Theta Virginis 80,2806.51,0.00033,0.1166,2642.4,M8V
Beta Orionis 27,2624.44,0.00019,0.1099,2187.2,M9V
Alpha Tauri 72,2974.99,767822.9575,18.2203,47942.5,O5V
Alpha Andromedae 35,2118.06,86715.01691,11.3378,34467.6,O8V
Delta Virginis 13,408.68,19240.72013,6.5413,29158.7,B0V
Delta Andromedae 81,3790.23,6908.96436,4.8954,26476.7,B2V
Kappa Tauri 87,1837.16,2230.05742,3.8242,17000.9,B5V
Gamma Virginis 52,2020.85,494.51913,2.4407,14399.7,B8V
Zeta Tauri 71,3965.89,39.21887,1.9345,11410.5,A0V
Eta Tauri 78,966.08,20.00378,1.625,9140.2,A2V
Epsilon Tauri 58,1792.32,8.97091,1.5905,8691.5,A5V
Kappa Orionis 67,543.98,7.45162,1.202,8190.6,A7V
Delta Tauri 3,3087.05,4.83004,1.3056,7567.6,F0V
Iota Virginis 74,3704.0,1.98566,1.0557,7006.7,F2V
Gamma Aquilae 47,3558.96,1.54991,1.0384,6620.1,F5V
Kappa Scorpii 73,3671.87,1.46713,1.0251,6417.2,F8V
Gamma Leonis 89,2812.64,1.22781,0.9367,6028.5,G0V
Alpha Andromedae 49,317.78,0.86398,0.954,5769.6,G2V
Eta Scorpii 16,3479.69,0.75668,0.9022,5620.5,G5V
Alpha Scorpii 7,1222.05,0.60824,0.8432,5329.9,G8V
Iota Lyrae 20,206.07,0.58289,0.7893,5189.1,K0V
Kappa Andromedae 65,364.15,0.33639,0.7586,4844.4,K2V
Zeta Centauri 61,2287.56,0.12789,0.6279,4434.0,K5V
Iota Scorpii 90,525.15,0.07214,0.5671,4246.4,K8V
Kappa Lyrae 72,2465.6,0.06943,0.4369,3867.9,M0V
Eta Tauri 88,3696.87,0.01269,0.4008,3677.1,M2V
Zeta Lyrae 42,1380.85,0.01155,0.327,3259.2,M3.5V
Zeta Andromedae 57,2494.31,0.0032,0.2701,2893.4,M5V
Zeta Cygni 97,2915.09,0.00018,0.154,2497.2,M8V
Kappa Cygni 37,59.08,0.00016,0.0667,2180.0,M9V
Alpha Tauri 27,2961.14,258906.48516,15.4642,47503.6,O5V
Iota Leonis 80,2920.83,57067.37105,10.795,34110.3,O8V
Kappa Virginis 6,1024.95,12404.40198,5.8028,32179.2,B0V
Epsilon Orionis 60,2620.48,3058.33923,4.4716,23627.9,B2V
Zeta Centauri 3,1172.95,2731.82532,3.0798,21878.8,B5V
Iota Centauri 41,1940.81,458.26385,1.9056,12795.5,B8V
Theta Virginis 92,90.06,32.26529,2.0765,10333.9,A0V
Eta Cygni 3,1389.86,15.74209,1.7751,8889.0,A2V
Iota Aquilae 8,2504.74,13.78677,1.6562,8607.4,A5V
Alpha Virginis 36,905.58,4.70893,1.3179,7682.4,A7V
Eta Virginis 87,2451.42,3.87657,1.1569,7296.1,F0V
Gamma Scorpii 40,3639.32,2.19514,1.1313,6962.0,F2V
Gamma Andromedae 70,2737.52,1.52139,1.0207,6775.4,F5V
Iota Cygni 56,3982.76,1.58789,0.9731,6473.2,F8V
Gamma Tauri 9,2231.22,1.27944,0.9383,5963.5,G0V
Gamma Orionis 98,1277.61,1.09322,0.9673,5760.7,G2V
Epsilon Cygni 25,430.84,0.74619,0.911,5622.4,G5V
Epsilon Andromedae 73,2451.08,0.71927,0.8185,5305.2,G8V
Beta Leonis 18,2011.39,0.55118,0.8212,5174.8,K0V
Eta Leonis 61,553.67,0.28865,0.6832,5029.4,K2V
Alpha Aquilae 53,893.48,0.22741,0.6043,4481.8,K5V
Gamma Leonis 79,1961.91,0.08924,0.5549,4174.0,K8V
Eta Orionis 78,2942.44,0.05521,0.4469,4002.9,M0V
Kappa Andromedae 69,2102.92,0.03627,0.418,3706.2,M2V
Theta Leonis 6,3511.63,0.00746,0.3038,3544.3,M3.5V
Alpha Virginis 50,2066.54,0.00415,0.1564,2916.5,M5V
Eta Aquilae 37,1847.65,0.00048,0.1413,2421.8,M8V
Iota Cygni 60,3320.29,0.00013,0.1034,2045.3,M9V
Kappa Virginis 18,1574.82,342595.69934,10.2491,44536.8,O5V
Delta Leonis 12,1003.48,84585.87142,11.6286,38778.9,O8V
Beta Centauri 15,2826.14,35362.89673,5.3412,32243.7,B0V
Iota Andromedae 21,1517.32,5664.24906,5.4207,27473.5,B2V
Kappa Cygni 21,3475.83,1111.39356,3.5681,18517.5,B5V
Epsilon Leonis 37,2507.38,170.53239,1.9579,12811.4,B8V
Kappa Aquilae 2,1836.84,86.987,2.0892,9514.4,A0V
Theta Lyrae 28,2357.18,18.46566,1.6461,8763.5,A2V
Kappa Orionis 32,3529.17,7.78113,1.5515,8610.1,A5V
Delta Orionis 24,596.6,6.26638,1.211,8112.3,A7V
Kappa Andromedae 39,1327.25,2.26311,1.1272,7597.5,F0V
Gamma Aquilae 79,2645.12,2.63982,1.1358,7068.7,F2V
Theta Andromedae 47,3726.21,1.45588,1.0449,6647.4,F5V
Eta Centauri 98,1711.7,1.37524,0.9864,6153.8,F8V
